XOM,369.5,nrg,USA
WMT,257.2,cons,USA
WFC,282.4,fin,USA
VZ,205.2,tel,USA
RDS-A,195.7,nrg,NL
ORCL,192.1,tech,USA
MSFT,346.7,tech,USA
JNJ,279.7,cons,USA
GOOGL,368.2,tech,USA
CHL,282.1,tel,CN
BRK-A,343.5,fin,USA
AAPL,738.5,tech,USA
